d_fpssm0,d_fpssm1,d_fpssm2,d_fpssm3,d_fpssm4,d_fpssm5,d_fpssm6,d_fpssm7,d_fpssm8,d_fpssm9,d_fpssm10,d_fpssm11,d_fpssm12,d_fpssm13,d_fpssm14,d_fpssm15,d_fpssm16,d_fpssm17,d_fpssm18,d_fpssm19,target
0.000130028,0.00017337,0,0.001560333,0.001538662,0.000541782,0.000780166,0.000628467,0.001950416,0.000628467,0.000325069,0.001473648,0.001040222,0.001582004,0.002167129,0.000108356,0.000325069,0.003098994,0.00134362,0.001126907,1
0.000366409,0.000472104,0.00061303,0.000641215,0.001507913,0.000422779,0.000838512,0.000422779,0.001162643,0.000761003,0.000331177,0.000620076,0.000873744,0.000577798,0.00034527,0.000147973,0,0.000972393,0.000676447,0.000253668,1
0.000928201,0.001078351,0.000573301,0.001446901,0.000928201,0.00042315,0.001119301,0.00042315,0.001433251,0.001460551,0.000846301,0.000273,0.001569752,0.000655201,0.001119301,0.00042315,0,0.000518701,0.000846301,0.000846301,1
0.000454243,0.000436905,0.000679631,0.001081861,0,0.000565203,0.000891148,0.00023579,0.00061028,0.000866876,0.000776721,0.000721241,0.000575605,0.001144276,0.000707371,0.000492385,0.000835668,0.001015978,0.001109601,0.000738578,1
0,0.000397644,0.000486249,0.000618076,0.000278783,0.000235561,0.000363066,0.000205305,0.000972498,0.000399805,0.000462477,0.000216111,0.000432221,0.000628882,0.000542438,0.000121022,9.08E-05,0.00087957,0.000734776,0.000311199,1
0.000350085,0.000297572,0.000875212,0.001207793,0.001549126,0.000113778,0.001164032,0.000665161,0.001269058,0.00111152,0.000980238,0.001199041,0.001347827,0.000857708,0.00070017,0.00028882,0,0.001094015,0.000516375,0.00086646,1
0.000951186,0.000399774,0,0.000627231,0.000420452,0.000151638,0.000765085,0.000854689,0.000682373,0.000861582,0.000696158,0.000344633,0.000958079,0.000110282,0.001068361,6.89E-05,6.20E-05,0.000585876,0,0.000634124,1
0.00195802,0.004699248,0.001331454,0.000469925,0.005560777,0.003446115,0,0.000391604,0.001566416,0.002819549,0.003367794,0.006735589,0.001566416,0.001801378,0.005482456,0.003759398,0.004699248,0.00101817,0.000391604,0.003132832,1
0.000167234,0.000361073,0.000608122,0.000315463,0.000380076,0.001109823,0.000433287,1.90E-05,0.001026206,1.14E-05,0.000140628,0.000372475,0.000782957,0,0.001653332,0.001280857,0.000668934,0.00034967,3.04E-05,0,1
0.00048319,0.001752967,0.001449569,0.00174173,0.001078749,0.00314635,0.002314815,8.99E-05,0.001618123,0.001899047,0.001314725,0.001820388,0.002202445,0.000842772,0,0.000865246,0.000325872,0.00111246,0.000561848,0.001134933,1
