aac_pssm0,aac_pssm1,aac_pssm2,aac_pssm3,aac_pssm4,aac_pssm5,aac_pssm6,aac_pssm7,aac_pssm8,aac_pssm9,aac_pssm10,aac_pssm11,aac_pssm12,aac_pssm13,aac_pssm14,aac_pssm15,aac_pssm16,aac_pssm17,aac_pssm18,aac_pssm19,target
-0.741071429,-1.178571429,-1.089285714,-0.982142857,-1.21875,-0.785714286,-0.946428571,-1.5625,-0.651785714,-1.299107143,-1.433035714,-0.696428571,-0.785714286,-1.209821429,-1.125,-0.772321429,-0.700892857,-1.486607143,-1.017857143,-0.959821429,1
-0.313364055,-0.737327189,-0.486175115,-0.947004608,-0.6359447,-0.47235023,-0.532258065,-1.036866359,-0.407834101,-0.576036866,-0.960829493,-0.463133641,-0.426267281,-0.857142857,-1.269585253,-0.297235023,-0.375576037,-1.894009217,-0.781105991,-0.702764977,1
-0.345454545,-0.863636364,-0.984848485,-1.127272727,-1.403030303,-0.818181818,-0.918181818,-1.503030303,-0.866666667,-0.890909091,-0.912121212,-0.915151515,-0.593939394,-1.527272727,-1.496969697,-0.451515152,-0.684848485,-2.424242424,-1.281818182,-0.86969697,1
-1.212765957,-1.800327332,-1.302782324,-1.693944354,-2.862520458,-1.368248773,-1.525368249,-2.705400982,-1.376432079,-1.435351882,-1.595744681,-1.533551555,-1.368248773,-1.549918167,-2.589198036,-1.052373159,-0.772504092,-2.387888707,-1.112929624,-1.346972177,1
-0.7100271,-0.761517615,-0.74796748,-0.834688347,-1.849593496,-0.735772358,-0.766937669,-1.386178862,-0.281842818,-0.93902439,-0.826558266,-0.887533875,-0.722222222,-0.849593496,-1.208672087,-0.562330623,-0.577235772,-1.535230352,-0.596205962,-0.787262873,1
-0.467625899,-0.990407674,-0.673860911,-0.79616307,-0.935251799,-0.776978417,-0.604316547,-1.215827338,-0.604316547,-0.621103118,-0.851318945,-0.529976019,-0.436450839,-1,-1.407673861,-0.42206235,-0.611510791,-2.103117506,-0.856115108,-0.611510791,1
-0.037344398,-0.726141079,-0.908713693,-0.960580913,-1.099585062,-0.765560166,-0.705394191,-1.020746888,-0.636929461,-0.680497925,-0.883817427,-0.769709544,-0.414937759,-1.246887967,-1.03526971,-0.512448133,-0.470954357,-2.118257261,-1.197095436,-0.562240664,1
-0.894736842,-1.035087719,-1.587719298,-2.526315789,-1.903508772,-0.964912281,-1.99122807,-2.412280702,-1.447368421,-1.333333333,-1.263157895,-0.798245614,-1.00877193,-1.877192982,-1.48245614,-0.50877193,-0.307017544,-2.912280702,-2.447368421,-1.122807018,1
-0.372277228,-0.596039604,-0.089108911,-0.720792079,-1.534653465,0.328712871,-0.451485149,-1.158415842,-0.051485149,-1.2,-1.201980198,-0.605940594,-0.136633663,-1.611881188,0.128712871,0.447524752,0.059405941,-2.316831683,-1.356435644,-1.041584158,1
-0.684027778,-0.59375,-0.524305556,-0.868055556,-1.586805556,0.274305556,-0.402777778,-1.815972222,-0.472222222,-0.600694444,-1.010416667,-0.416666667,0.013888889,-1.375,-2.361111111,-0.440972222,-0.53125,-2.430555556,-1.260416667,-0.840277778,1
-0.707434053,-0.788968825,-0.541966427,-0.208633094,-2.462829736,-0.503597122,-0.043165468,-1.534772182,-0.676258993,-1.1558753,-1.285371703,-0.09352518,-1.050359712,-1.227817746,-0.815347722,-0.429256595,-0.592326139,-2.107913669,-1.074340528,-1.045563549,1
-2.030555556,-1.783333333,-2.325,-2.35,-2.672222222,-1.802777778,-1.916666667,-3.327777778,-1.922222222,-2.072222222,-1.847222222,-1.680555556,-1.597222222,-2.477777778,-2.911111111,-1.844444444,-1.866666667,-3.761111111,-2.411111111,-2.127777778,1
-0.566502463,-0.18226601,-0.753694581,-1.389162562,-1.931034483,-0.541871921,-0.581280788,-1.837438424,-0.669950739,-0.975369458,-1.019704434,0.147783251,-0.640394089,-1.522167488,-1.81773399,-0.719211823,-0.768472906,-2.226600985,-1.103448276,-0.842364532,1
-0.558862434,-0.910714286,-0.746031746,-0.874338624,-1.826719577,-0.621693122,-0.439153439,-1.550925926,-1.091931217,-0.998677249,-1.188492063,-0.21031746,-0.978835979,-1.444444444,-1.321428571,-0.596560847,-0.622354497,-2.21494709,-1.26521164,-0.917328042,1
