s_fpssm0,s_fpssm1,s_fpssm2,s_fpssm3,s_fpssm4,s_fpssm5,s_fpssm6,s_fpssm7,s_fpssm8,s_fpssm9,s_fpssm10,s_fpssm11,s_fpssm12,s_fpssm13,s_fpssm14,s_fpssm15,s_fpssm16,s_fpssm17,s_fpssm18,s_fpssm19,s_fpssm20,s_fpssm21,s_fpssm22,s_fpssm23,s_fpssm24,s_fpssm25,s_fpssm26,s_fpssm27,s_fpssm28,s_fpssm29,s_fpssm30,s_fpssm31,s_fpssm32,s_fpssm33,s_fpssm34,s_fpssm35,s_fpssm36,s_fpssm37,s_fpssm38,s_fpssm39,s_fpssm40,s_fpssm41,s_fpssm42,s_fpssm43,s_fpssm44,s_fpssm45,s_fpssm46,s_fpssm47,s_fpssm48,s_fpssm49,s_fpssm50,s_fpssm51,s_fpssm52,s_fpssm53,s_fpssm54,s_fpssm55,s_fpssm56,s_fpssm57,s_fpssm58,s_fpssm59,s_fpssm60,s_fpssm61,s_fpssm62,s_fpssm63,s_fpssm64,s_fpssm65,s_fpssm66,s_fpssm67,s_fpssm68,s_fpssm69,s_fpssm70,s_fpssm71,s_fpssm72,s_fpssm73,s_fpssm74,s_fpssm75,s_fpssm76,s_fpssm77,s_fpssm78,s_fpssm79,s_fpssm80,s_fpssm81,s_fpssm82,s_fpssm83,s_fpssm84,s_fpssm85,s_fpssm86,s_fpssm87,s_fpssm88,s_fpssm89,s_fpssm90,s_fpssm91,s_fpssm92,s_fpssm93,s_fpssm94,s_fpssm95,s_fpssm96,s_fpssm97,s_fpssm98,s_fpssm99,s_fpssm100,s_fpssm101,s_fpssm102,s_fpssm103,s_fpssm104,s_fpssm105,s_fpssm106,s_fpssm107,s_fpssm108,s_fpssm109,s_fpssm110,s_fpssm111,s_fpssm112,s_fpssm113,s_fpssm114,s_fpssm115,s_fpssm116,s_fpssm117,s_fpssm118,s_fpssm119,s_fpssm120,s_fpssm121,s_fpssm122,s_fpssm123,s_fpssm124,s_fpssm125,s_fpssm126,s_fpssm127,s_fpssm128,s_fpssm129,s_fpssm130,s_fpssm131,s_fpssm132,s_fpssm133,s_fpssm134,s_fpssm135,s_fpssm136,s_fpssm137,s_fpssm138,s_fpssm139,s_fpssm140,s_fpssm141,s_fpssm142,s_fpssm143,s_fpssm144,s_fpssm145,s_fpssm146,s_fpssm147,s_fpssm148,s_fpssm149,s_fpssm150,s_fpssm151,s_fpssm152,s_fpssm153,s_fpssm154,s_fpssm155,s_fpssm156,s_fpssm157,s_fpssm158,s_fpssm159,s_fpssm160,s_fpssm161,s_fpssm162,s_fpssm163,s_fpssm164,s_fpssm165,s_fpssm166,s_fpssm167,s_fpssm168,s_fpssm169,s_fpssm170,s_fpssm171,s_fpssm172,s_fpssm173,s_fpssm174,s_fpssm175,s_fpssm176,s_fpssm177,s_fpssm178,s_fpssm179,s_fpssm180,s_fpssm181,s_fpssm182,s_fpssm183,s_fpssm184,s_fpssm185,s_fpssm186,s_fpssm187,s_fpssm188,s_fpssm189,s_fpssm190,s_fpssm191,s_fpssm192,s_fpssm193,s_fpssm194,s_fpssm195,s_fpssm196,s_fpssm197,s_fpssm198,s_fpssm199,s_fpssm200,s_fpssm201,s_fpssm202,s_fpssm203,s_fpssm204,s_fpssm205,s_fpssm206,s_fpssm207,s_fpssm208,s_fpssm209,s_fpssm210,s_fpssm211,s_fpssm212,s_fpssm213,s_fpssm214,s_fpssm215,s_fpssm216,s_fpssm217,s_fpssm218,s_fpssm219,s_fpssm220,s_fpssm221,s_fpssm222,s_fpssm223,s_fpssm224,s_fpssm225,s_fpssm226,s_fpssm227,s_fpssm228,s_fpssm229,s_fpssm230,s_fpssm231,s_fpssm232,s_fpssm233,s_fpssm234,s_fpssm235,s_fpssm236,s_fpssm237,s_fpssm238,s_fpssm239,s_fpssm240,s_fpssm241,s_fpssm242,s_fpssm243,s_fpssm244,s_fpssm245,s_fpssm246,s_fpssm247,s_fpssm248,s_fpssm249,s_fpssm250,s_fpssm251,s_fpssm252,s_fpssm253,s_fpssm254,s_fpssm255,s_fpssm256,s_fpssm257,s_fpssm258,s_fpssm259,s_fpssm260,s_fpssm261,s_fpssm262,s_fpssm263,s_fpssm264,s_fpssm265,s_fpssm266,s_fpssm267,s_fpssm268,s_fpssm269,s_fpssm270,s_fpssm271,s_fpssm272,s_fpssm273,s_fpssm274,s_fpssm275,s_fpssm276,s_fpssm277,s_fpssm278,s_fpssm279,s_fpssm280,s_fpssm281,s_fpssm282,s_fpssm283,s_fpssm284,s_fpssm285,s_fpssm286,s_fpssm287,s_fpssm288,s_fpssm289,s_fpssm290,s_fpssm291,s_fpssm292,s_fpssm293,s_fpssm294,s_fpssm295,s_fpssm296,s_fpssm297,s_fpssm298,s_fpssm299,s_fpssm300,s_fpssm301,s_fpssm302,s_fpssm303,s_fpssm304,s_fpssm305,s_fpssm306,s_fpssm307,s_fpssm308,s_fpssm309,s_fpssm310,s_fpssm311,s_fpssm312,s_fpssm313,s_fpssm314,s_fpssm315,s_fpssm316,s_fpssm317,s_fpssm318,s_fpssm319,s_fpssm320,s_fpssm321,s_fpssm322,s_fpssm323,s_fpssm324,s_fpssm325,s_fpssm326,s_fpssm327,s_fpssm328,s_fpssm329,s_fpssm330,s_fpssm331,s_fpssm332,s_fpssm333,s_fpssm334,s_fpssm335,s_fpssm336,s_fpssm337,s_fpssm338,s_fpssm339,s_fpssm340,s_fpssm341,s_fpssm342,s_fpssm343,s_fpssm344,s_fpssm345,s_fpssm346,s_fpssm347,s_fpssm348,s_fpssm349,s_fpssm350,s_fpssm351,s_fpssm352,s_fpssm353,s_fpssm354,s_fpssm355,s_fpssm356,s_fpssm357,s_fpssm358,s_fpssm359,s_fpssm360,s_fpssm361,s_fpssm362,s_fpssm363,s_fpssm364,s_fpssm365,s_fpssm366,s_fpssm367,s_fpssm368,s_fpssm369,s_fpssm370,s_fpssm371,s_fpssm372,s_fpssm373,s_fpssm374,s_fpssm375,s_fpssm376,s_fpssm377,s_fpssm378,s_fpssm379,s_fpssm380,s_fpssm381,s_fpssm382,s_fpssm383,s_fpssm384,s_fpssm385,s_fpssm386,s_fpssm387,s_fpssm388,s_fpssm389,s_fpssm390,s_fpssm391,s_fpssm392,s_fpssm393,s_fpssm394,s_fpssm395,s_fpssm396,s_fpssm397,s_fpssm398,s_fpssm399,target
25,2,1,6,13,5,5,4,12,3,7,6,9,9,0,6,1,14,10,6,3,25,5,3,2,5,7,8,9,0,1,18,0,0,9,4,4,6,0,0,0,1,12,14,5,3,4,5,4,0,0,1,1,0,5,0,2,3,2,0,5,3,17,43,5,7,8,5,10,0,0,11,3,0,9,6,2,8,4,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,3,1,12,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,2,3,17,0,11,38,6,14,0,0,13,4,3,2,5,6,10,3,0,4,1,4,10,6,0,0,53,3,0,1,3,0,0,2,3,1,2,0,6,0,0,0,0,0,2,0,0,11,0,0,1,0,3,0,4,0,1,1,0,1,4,0,3,11,5,2,0,6,21,8,4,12,9,1,0,1,22,6,19,4,7,0,1,14,7,2,0,10,33,45,7,30,18,5,0,1,29,24,26,1,15,7,6,9,20,14,4,15,2,0,40,6,1,7,2,3,8,3,3,0,0,0,0,6,0,0,0,2,4,2,0,9,2,0,0,2,4,1,2,0,0,1,1,4,1,1,0,9,9,8,2,7,50,0,0,0,27,26,9,2,1,2,9,5,1,10,0,5,0,0,7,4,5,67,8,4,15,4,1,6,1,1,4,9,1,1,0,6,1,0,7,2,1,3,19,1,6,1,0,6,0,3,5,4,5,1,0,9,4,0,4,3,0,11,9,44,6,1,12,0,0,1,0,1,0,0,0,0,0,0,0,0,6,2,0,0,0,5,0,0,0,5,0,0,0,0,0,5,1,1,0,1,5,2,1,0,2,11,1,11,0,1,2,18,3,4,7,12,14,5,4,9,7,4,1,6,9,5,30,1
108,4,6,7,38,7,3,19,17,9,2,9,18,8,12,29,6,14,9,10,1,71,6,6,6,12,13,1,7,1,1,21,0,0,3,2,0,4,7,0,3,6,63,14,7,11,11,4,30,0,0,13,5,3,6,10,8,7,2,0,4,7,25,84,9,9,23,1,24,0,0,5,2,3,4,2,1,9,4,0,7,0,2,0,23,0,0,6,2,3,0,0,3,1,0,2,1,4,0,2,0,12,5,6,2,36,19,1,9,1,0,7,6,4,2,0,0,7,4,1,2,8,10,33,9,26,92,1,19,1,0,18,3,0,8,5,4,11,7,0,16,5,23,12,30,9,9,109,28,2,0,6,5,4,7,8,3,18,7,1,1,3,4,0,3,2,2,0,22,1,0,4,3,2,0,3,2,9,6,0,1,4,2,0,24,2,0,0,8,85,30,5,31,17,3,0,2,8,5,40,1,3,2,3,33,9,2,0,10,31,70,6,53,30,4,2,6,36,25,21,1,38,23,14,10,22,30,9,20,2,1,78,9,0,12,4,5,11,6,1,0,3,0,0,5,2,1,0,3,14,14,1,20,7,2,0,1,6,2,7,1,0,0,0,14,0,0,3,17,11,22,0,18,69,1,1,2,31,38,4,1,0,1,2,15,4,4,3,0,1,1,3,4,2,71,3,2,10,1,1,5,9,13,9,16,8,11,14,13,1,1,17,3,1,4,51,17,10,5,1,4,2,5,4,17,4,8,1,6,4,3,4,5,5,4,11,46,3,6,6,0,0,0,0,3,0,0,0,3,0,0,0,2,8,0,0,0,3,5,0,0,0,0,1,10,4,2,1,17,1,2,0,2,16,1,0,0,24,45,0,9,5,2,1,53,6,2,0,15,45,13,4,36,15,10,1,7,8,17,54,1
86,10,19,5,36,12,17,9,12,14,6,15,20,5,7,31,9,8,12,17,3,53,6,6,8,11,8,1,18,3,5,33,7,2,4,3,2,5,11,5,0,1,12,15,3,4,3,1,10,0,0,0,2,0,0,3,3,2,0,0,4,1,19,87,5,4,23,3,2,0,1,1,4,2,1,4,2,9,4,0,12,1,0,7,22,0,0,2,2,0,0,0,3,1,0,6,8,7,1,1,2,5,2,13,1,30,18,0,16,0,0,9,5,0,3,4,1,2,4,0,5,14,12,24,6,20,53,3,13,2,2,16,3,2,12,2,1,6,2,2,14,5,14,7,10,2,2,95,9,0,1,4,1,0,12,9,3,5,4,1,6,10,9,1,2,9,2,1,23,0,0,2,4,5,3,2,1,0,6,0,0,3,1,1,6,3,1,0,3,49,16,2,19,3,3,0,2,0,3,21,15,4,2,4,16,3,8,0,7,57,92,1,46,27,1,2,6,20,10,43,2,20,10,14,0,10,16,4,6,0,0,28,1,0,0,4,0,4,1,0,1,4,1,5,0,1,6,0,5,9,17,0,39,6,1,1,2,2,2,6,0,0,2,0,4,1,1,0,11,11,4,0,11,41,2,0,2,10,19,5,3,8,2,9,4,5,13,6,7,7,3,7,0,9,106,2,5,0,2,3,7,10,22,14,13,5,8,8,14,1,0,1,0,1,8,56,21,2,0,0,7,5,8,0,0,1,8,1,12,1,1,3,4,2,6,6,30,1,0,3,0,6,1,0,0,1,0,0,5,1,2,4,1,1,0,0,0,2,4,0,1,4,3,0,4,6,0,0,15,1,3,0,5,31,6,1,0,12,54,0,7,6,4,1,18,10,2,4,6,58,16,1,31,9,6,2,9,21,5,62,1
69,20,17,25,17,14,18,10,6,15,14,18,20,18,17,26,21,14,14,24,7,52,11,11,2,18,17,0,15,3,2,38,6,6,9,7,8,17,11,6,0,2,40,28,7,11,9,7,15,3,3,11,9,4,7,12,17,8,4,4,7,3,46,116,1,14,48,10,11,8,0,11,5,1,15,9,5,4,10,2,12,0,4,0,26,0,0,9,5,9,6,0,6,10,2,7,13,5,2,12,7,10,17,20,0,66,30,8,18,3,6,29,9,11,2,4,10,10,20,6,11,20,28,41,0,35,113,8,22,5,1,34,1,0,12,28,33,1,6,8,12,6,16,25,6,5,11,91,4,6,2,11,3,5,14,13,4,2,9,5,2,12,15,18,2,5,3,0,36,0,3,13,7,2,2,0,5,5,17,1,16,2,4,4,5,4,5,2,6,89,40,4,15,28,7,3,16,20,19,61,19,14,2,9,9,12,5,2,18,107,192,6,72,88,17,4,13,38,68,63,5,49,29,25,0,36,32,15,16,0,1,102,5,2,20,16,19,2,4,5,0,5,2,0,6,5,0,0,0,8,12,3,26,13,0,6,0,10,8,3,13,7,6,4,5,0,3,7,24,12,20,2,14,90,2,9,11,53,45,7,8,3,6,16,1,7,15,3,3,11,5,10,6,2,132,18,15,13,10,11,40,19,39,43,18,41,31,11,15,4,4,23,6,9,8,76,47,5,9,11,23,14,14,28,15,12,31,11,10,18,6,11,5,2,15,39,110,10,5,18,0,7,1,3,3,3,2,0,2,0,9,0,1,31,0,0,0,25,29,0,5,1,3,2,5,4,3,0,17,2,6,1,11,45,1,2,6,32,63,4,17,6,5,4,3,5,7,0,13,81,34,6,18,21,21,5,22,6,11,104,1
65,8,14,8,32,10,10,10,19,7,9,7,13,3,7,19,13,22,11,11,2,147,30,25,13,46,30,4,51,1,4,66,10,8,11,12,11,32,23,1,3,4,108,21,6,5,6,10,22,0,0,3,2,2,10,14,10,5,3,0,0,16,60,165,4,25,46,10,40,1,0,20,5,3,16,18,4,20,9,0,10,0,0,0,35,0,0,2,3,1,4,0,4,2,2,1,4,8,2,1,4,18,19,23,3,57,29,7,37,0,0,24,8,3,9,4,1,16,6,0,8,22,23,77,12,31,102,10,39,0,0,27,10,7,27,12,6,27,17,3,19,16,27,23,13,12,18,177,22,3,4,13,11,6,25,18,7,16,13,4,0,12,11,7,2,12,8,2,68,0,1,5,7,11,11,1,4,15,25,2,3,1,6,1,10,1,1,0,8,69,33,0,30,8,3,1,5,30,5,51,6,11,4,2,41,11,8,3,39,118,210,9,101,82,18,2,5,57,33,78,2,26,18,13,1,18,23,0,27,2,1,55,6,5,20,6,3,4,11,1,1,4,0,2,4,1,2,0,9,14,30,2,46,13,1,2,1,12,6,12,5,7,7,5,15,3,0,2,24,20,15,0,24,138,9,2,4,69,91,10,13,13,16,17,10,17,27,3,27,1,4,16,12,10,166,20,2,29,5,4,13,15,24,22,33,7,7,17,47,5,1,11,12,12,18,61,23,29,17,3,13,9,19,21,5,7,18,4,14,12,3,10,3,4,12,30,89,10,7,16,3,9,3,0,4,8,3,0,12,3,5,3,7,19,4,5,0,55,26,0,0,9,1,0,4,1,1,0,37,12,22,0,22,83,1,2,5,55,113,4,7,6,4,7,19,6,6,3,25,93,45,6,44,24,10,3,22,24,28,120,1
56,8,8,9,52,9,20,3,25,9,3,16,13,5,15,17,2,26,16,15,4,30,6,0,5,6,2,1,7,0,0,13,2,1,3,3,4,8,2,5,1,10,53,36,7,9,11,15,25,0,0,12,2,4,4,7,3,7,5,0,2,7,22,76,2,10,36,1,12,1,0,15,2,1,11,4,1,2,3,0,7,0,0,0,14,0,0,0,2,14,5,1,3,1,0,0,0,4,1,7,0,2,3,2,4,1,3,1,4,0,1,6,1,0,6,2,5,1,4,0,7,9,14,28,3,14,77,5,13,0,0,25,2,1,7,9,4,7,3,0,14,5,22,17,24,2,7,143,10,7,0,8,5,5,10,12,3,12,7,3,0,1,5,0,4,6,0,0,9,0,0,0,0,5,0,1,0,8,10,1,3,3,1,4,16,1,1,0,8,51,26,0,28,17,1,0,1,3,7,29,6,2,1,1,26,3,2,2,8,48,104,5,67,35,5,1,5,18,15,23,2,34,26,26,15,24,39,2,26,1,4,104,7,3,12,10,0,12,8,0,1,0,1,0,11,1,0,0,8,18,22,0,38,9,0,0,0,11,7,12,0,1,3,0,14,1,2,0,14,4,8,1,10,53,3,2,1,14,28,4,0,1,1,3,7,5,7,0,8,0,2,5,1,3,65,0,0,4,4,0,11,5,16,14,10,9,14,0,13,3,2,13,5,4,10,45,22,7,2,5,4,2,4,0,16,3,2,0,5,4,4,4,7,4,4,13,40,6,3,8,0,0,1,3,2,1,1,0,3,0,0,0,8,4,0,1,1,11,4,0,0,0,0,0,6,0,0,0,6,3,0,0,5,11,0,0,0,12,13,0,19,3,2,8,36,5,6,0,10,61,28,6,36,29,12,3,5,31,14,84,1
134,19,15,20,26,16,32,30,28,23,15,21,19,5,24,19,12,15,15,30,7,70,19,27,8,17,24,1,28,5,3,38,8,2,13,6,8,10,13,3,0,3,7,6,0,1,2,0,1,0,0,2,0,0,2,3,4,0,0,0,3,11,23,69,2,14,30,1,12,0,0,11,4,5,7,9,10,5,1,0,4,0,0,0,20,0,1,1,2,4,2,0,3,4,1,1,4,3,2,6,10,25,11,17,8,54,22,3,21,4,3,18,11,6,10,10,7,10,6,3,5,18,5,37,2,17,77,2,11,1,0,14,5,3,11,5,4,11,10,3,30,10,21,26,17,11,21,192,21,3,0,13,6,4,24,20,11,23,4,2,0,3,5,1,6,0,0,2,16,0,1,3,3,4,4,3,0,4,11,1,3,1,2,1,5,2,1,0,10,30,17,2,18,7,0,0,1,2,3,11,23,12,7,6,46,7,10,1,31,93,131,8,93,53,10,6,7,43,35,57,0,10,7,0,5,3,2,1,4,1,4,22,9,1,11,1,3,5,2,1,1,3,2,0,4,2,4,1,4,5,11,11,35,6,1,1,3,19,5,6,2,0,0,0,4,0,2,0,2,12,9,1,9,23,0,0,2,10,9,14,7,5,4,3,5,9,12,5,13,10,4,13,2,7,141,7,3,12,3,9,21,7,13,9,11,6,9,17,14,3,5,9,2,5,9,50,21,2,3,4,4,3,4,11,8,4,4,0,7,8,9,3,12,5,8,12,43,9,8,7,0,0,0,0,1,0,2,0,1,5,7,0,3,4,2,0,0,23,5,2,1,0,0,0,0,0,0,0,1,3,0,0,3,2,0,0,0,0,5,0,29,4,1,4,29,5,2,13,9,61,26,7,40,16,7,3,12,25,6,79,1
19,0,1,3,5,2,3,3,0,0,3,1,1,1,5,4,4,0,0,3,1,25,5,5,0,13,5,0,4,1,2,30,1,1,9,4,1,2,0,0,1,4,8,3,0,6,0,1,4,0,0,6,1,0,3,1,4,0,0,0,0,3,9,15,2,2,4,0,1,0,0,7,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,10,2,0,0,9,4,0,6,0,0,13,0,1,5,5,2,0,0,0,2,2,2,1,0,6,4,1,2,0,0,1,0,0,5,3,0,0,0,0,9,2,2,1,5,4,0,22,2,1,0,2,1,0,1,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,5,1,1,0,3,20,10,4,6,3,0,3,6,2,1,17,4,5,2,0,8,2,0,0,0,17,30,6,7,14,2,1,1,12,0,11,1,10,0,0,0,8,3,0,4,0,0,18,2,0,0,1,2,0,0,5,0,2,0,0,0,0,0,0,0,2,8,2,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,13,1,1,0,0,0,4,9,7,1,5,4,0,1,8,1,2,13,1,1,11,19,6,0,2,1,3,7,3,3,3,12,2,2,4,1,0,9,6,0,19,25,52,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,2,0,0,5,0,0,1,6,0,0,5,2,1,0,6,0,0,1,5,19,8,0,8,9,6,2,3,3,6,25,1
62,2,13,5,10,20,10,12,22,7,2,4,16,2,34,40,20,9,3,7,2,53,6,2,8,20,10,2,14,0,0,35,7,2,11,10,5,6,2,0,0,5,54,12,4,11,11,1,13,0,0,5,3,0,13,18,11,2,0,0,1,1,19,70,2,19,32,4,5,0,0,3,3,1,12,16,6,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,2,0,0,3,0,3,15,21,7,8,98,18,2,36,0,0,15,21,1,29,24,16,9,3,0,3,6,3,24,6,43,72,2,19,0,0,4,8,1,14,16,10,11,4,0,7,3,10,6,1,7,1,46,4,0,0,3,2,1,16,19,7,1,0,0,2,2,8,1,4,11,1,0,39,0,0,6,6,1,13,8,4,4,6,0,2,0,3,1,3,7,0,0,15,20,8,0,16,2,7,8,8,5,2,9,3,11,2,5,15,19,8,0,12,12,83,3,56,3,16,13,7,22,4,13,5,55,12,3,4,26,13,4,15,0,0,90,4,0,14,12,5,3,6,0,1,0,1,2,3,2,0,0,5,8,9,0,40,1,2,2,2,3,0,5,0,4,0,0,2,1,0,0,1,2,8,2,2,43,0,1,0,4,12,1,3,3,19,8,13,30,2,3,26,0,1,5,12,1,207,45,8,19,7,0,21,7,47,17,21,30,12,13,35,0,0,7,19,2,66,127,50,24,13,1,11,3,16,5,15,17,4,0,27,3,1,1,22,2,40,47,81,16,6,2,0,2,0,0,0,2,1,0,3,0,2,0,7,0,0,0,0,5,3,0,0,1,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,2,11,0,4,0,4,1,9,15,5,0,14,37,9,1,40,6,27,15,22,22,8,48,1
37,6,8,1,6,10,2,8,4,11,9,4,7,5,1,12,9,2,3,9,3,52,9,3,11,21,3,1,17,0,0,30,11,2,4,2,1,15,9,0,1,12,30,16,1,19,7,0,14,2,4,7,4,0,0,7,6,3,0,1,4,4,15,56,2,22,47,0,5,0,0,4,2,1,4,11,0,3,1,0,0,1,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,10,4,3,3,40,14,0,14,1,0,10,6,2,0,4,1,6,1,1,0,14,17,45,6,54,92,0,23,0,0,19,8,0,5,10,1,4,4,0,2,3,6,5,0,6,6,20,4,1,0,5,1,2,0,6,0,7,1,0,2,2,10,3,0,17,8,1,17,0,1,5,2,1,2,2,0,1,4,2,1,7,1,2,19,9,3,0,10,90,30,4,43,22,0,1,6,26,7,37,0,0,1,1,7,3,1,0,5,31,51,1,23,10,0,0,2,2,3,15,1,49,18,14,8,48,25,0,12,0,1,72,12,0,1,12,4,9,0,1,2,2,1,2,0,7,5,1,4,10,10,3,30,1,3,2,2,2,1,8,0,0,3,0,3,1,0,0,4,6,11,0,14,28,0,0,0,15,15,1,3,0,0,5,0,4,2,2,0,0,0,2,0,1,6,4,1,1,0,0,3,6,12,9,18,21,6,2,11,1,5,10,18,4,0,18,5,13,7,3,2,8,12,6,6,13,12,1,8,3,7,8,10,1,1,11,14,8,3,5,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,9,3,1,0,0,0,10,0,0,3,1,7,0,2,0,0,18,0,8,1,2,2,18,4,2,0,2,41,17,3,20,7,2,2,6,2,2,47,1
